Город,Численность населения,Страна
Порт-Саид,"607,35",Египет
Кострома,"270,00",Россия
Болу,"119,81",Турция
Кричев,"27,10",Белоруссия
Рим,"2711,49",Италия
Ат,"26,80",Бельгия
Санта-Крус-де-Тенерифе,"221,57",Испания
Эсна,"70,92",Египет
Ла-Гулетт,"89,56",Тунис
Гирга,"106,45",Египет
Сызрань,"179,00",Россия
Суаньи,"20,31",Бельгия
Голд-Кост — Туид-Хедс,"583,66",Австралия
Рас аль-Барр,"12,64",Египет
Новара,"103,18",Италия
Ван (город),"352,29",Турция
Коломна,"148,00",Россия
Чита,"309,00",Россия
Марш-ан-Фаменн,"10,53",Бельгия
Сент-Олбанс,"64,04",Англия
Йорк,"193,30",Англия
Таунсвилл,"157,17",Австралия
Льеж,"16,82",Бельгия
Ушак,"173,40",Турция
Бийск,"220,00",Россия
Городок,"12,90",Белоруссия
Накада,"22,58",Египет
Таршин,"7,61",Мальта
Текирдаг,"142,60",Турция
Швац,"12,64",Австрия
Дзержинск,"25,20",Белоруссия
Балыкесир,"252,74",Турция
Олбери — Уодонга,"101,84",Австралия
Узда,"9,70",Белоруссия
Волжский,"305,00",Россия
Ковров,"148,00",Россия
Нивель,"32,20",Бельгия
Киев,"2797,50",Украина
Антакья,"190,38",Турция
Ансфельден,"15,71",Австрия
Эксетер,"122,40",Англия
Мурсия,"409,81",Испания
Труро,"20,92",Англия
Бизерта,"114,37",Тунис
Дрезден,"512,23",Германия
Динан,"13,01",Бельгия
Сент-Дейвидс,"1,80",Уэльс
Челябинск,"1096,00",Россия
Измир,"2699,72",Турция
Гардая,"127,17",Алжир
Ат,"6,20",Бельгия
Мангейм,"311,34",Германия
Брюгге,"117,22",Бельгия
Сургут,"302,00",Россия
Махачкала,"469,00",Россия
Белфаст,"276,46",Северная Ирландия
Шахты,"245,00",Россия
Брук-на-Муре,"13,30",Австрия
Женева,"183,29",Швейцария
Зифта,"100,67",Египет
Петрозаводск,"271,00",Россия
Амштеттен,"23,04",Австрия
Ульяновск,"603,00",Россия
Гродно,"328,00",Белоруссия
Кальяри,"157,64",Италия
Хасселт,"63,79",Бельгия
Латина,"116,84",Италия
Лёвен,"90,71",Бельгия
Абердин,"192,08",Шотландия
Оренбург,"526,00",Россия
Асуан,"281,89",Египет
Набережные Челны,"510,00",Россия
Эль-Фатх,"14,78",Египет
Льеж,"186,81",Бельгия
Элиста,"103,00",Россия
Старые Дороги,"11,00",Белоруссия
Марсаскала,"9,30",Мальта
Рид,"11,59",Австрия
Санкт-Петербург,"4600,00",Россия
Лустенау,"20,61",Австрия
Бад Ишль,"14,09",Австрия
Хеншела,"138,75",Алжир
Малага,"558,29",Испания
Ошмяны,"14,80",Белоруссия
Мит-Гамр,"120,95",Египет
Новокуйбышевск,"110,40",Россия
Эттедхамен,"118,49",Тунис
Нойнкирхен,"12,15",Австрия
Тренто,"113,34",Италия
Ухта,"103,70",Россия
Дюздже,"121,22",Турция
Барнаул,"598,00",Россия
Аделаида,"1158,26",Австралия
Нёшато,"6,54",Бельгия
Эдфу,"128,00",Египет
Динан,"14,96",Бельгия
Воложин,"10,60",Белоруссия
Сива,"18,63",Египет
Эль-Уэд,"133,93",Алжир
Барановичи,"168,20",Белоруссия
Нижний Тагил,"373,00",Россия
Перуджа,"164,60",Италия
Чичестер,"23,73",Англия
Стерлинг,"41,24",Шотландия
Маасейк,"15,81",Бельгия
Пескара,"123,06",Италия
Ливерпуль,"435,50",Англия
Златоуст,"187,00",Россия
Магнитогорск,"410,00",Россия
Бормла,"5,64",Мальта
Заббар,"14,69",Мальта
Нивель,"29,52",Бельгия
Кавм Умбу,"75,13",Египет
Бобруйск,"215,10",Белоруссия
Мистельбах-ан-дер-Цайя,"11,04",Австрия
Биба,"60,97",Египет
Ипр,"0,99",Бельгия
Сиракуза,"124,02",Италия
Батна,"317,21",Алжир
Минск,"1834,20",Белоруссия
Брэдфорд,"497,40",Англия
Самсун,"463,50",Турция
Бакау,"48,42",Гамбия
Владивосток,"578,00",Россия
Ариана,"240,75",Тунис
Чашники,"9,20",Белоруссия
Льеж,"37,69",Бельгия
Менемен,"117,86",Турция
Марш-ан-Фаменн,"4,27",Бельгия
Карлайл,"103,50",Англия
Глостер,"123,21",Англия
Волгоград,"980,00",Россия
Арма,"14,59",Северная Ирландия
Тлемсен,"172,54",Алжир
Штайр,"38,98",Австрия
Эль-Минья,"253,77",Египет
Эрзерум,"358,34",Турция
Елец,"110,40",Россия
Бат,"80,00",Англия
Варем,"14,05",Бельгия
Халле-Вилворде,"34,88",Бельгия
Быхов,"17,00",Белоруссия
Эль-Махалла-эль-Кубра,"458,30",Египет
Уэйкфилд,"321,60",Англия
Сарагоса,"647,37",Испания
Силиври,"117,29",Турция
Брешиа,"190,49",Италия
Славгород,"7,90",Белоруссия
Кортрейк,"73,66",Бельгия
Валенсия,"796,55",Испания
Химки,"189,00",Россия
Филипвиль,"13,48",Бельгия
Люберцы,"158,00",Россия
Воллонгонг,"280,16",Австралия
Саутгемптон,"228,60",Англия
Улан-Удэ,"377,00",Россия
Дикирнис,"64,39",Египет
Триест,"205,53",Италия
