N,Город,Регион,Федеральный_округ,Население,Основан,Статус_города,Прежние_названия
1,Абаза,Хакасия,Сибирский,12 272,1867,1966,"Абаканский Завод, Абаканско-Заводское"
2,Абакан,Хакасия,Сибирский,184 769,1734,1931,Усть-Абаканское (до 1931)
3,Абдулино,Оренбургская область,Приволжский,17 274,1795,1923,
4,Абинск,Краснодарский край,Южный,39 511,1863,1963,Абинское (до 1863);
5,Агидель,Башкортостан,Приволжский,14 219,1980,1991,
6,Агрыз,Татарстан,Приволжский,19 991,1646,1938,
7,Адыгейск,Адыгея,Южный,13 175,1969,1976,Адыгейский (до 1976);
8,Азнакаево,Татарстан,Приволжский,34 750,1762,1987,
9,Азов,Ростовская область,Южный,81 924,1067,1708,"Азак, Тана"
10,Ак-Довурак,Тыва,Сибирский,12 456,1964,1964,
11,Аксай,Ростовская область,Южный,48 372,1570,1957,Аксайская
12,Алагир,Северная Осетия,Северо-Кавказский,21 550,1850,1938,
13,Алапаевск,Свердловская область,Уральский,36 189,1639,1781,
14,Алатырь,Чувашия,Приволжский,32 265,1552,1552,
15,Алдан,Якутия,Дальневосточный,21 590,1924,1932,Незаметный (до 1939)
16,Алейск,Алтайский край,Сибирский,25 380,1913,1939,
17,Александров,Владимирская область,Центральный,57 053,XIV век,1778,Александрова слобода
18,Александровск,Пермский край,Приволжский,10 780,1783,1951,
19,Александровск-Сахалинский,Сахалинская область,Дальневосточный,8 854,1869,1917,Александровский пост (до 1926)
20,Алексеевка,Белгородская область,Центральный,36 578,1685,1954,
21,Алексин,Тульская область,Центральный,60 842,1348,1777,
22,Алзамай,Иркутская область,Сибирский,5 373,1899,1955,
23,Алупкане призн.,Крым,Южный,9 063,960,1938,"Алубика, Лупико"
24,Алуштане призн.,Крым,Южный,31 364,VI век,1902,"Луста, Алустон"
25,Альметьевск,Татарстан,Приволжский,163 512,XVIII век,1953,Альметьево (до 1952)
26,Амурск,Хабаровский край,Дальневосточный,38 606,1958,1973,Падали-Восточное
27,Анадырь,Чукотский АО,Дальневосточный,13 202,1889,1965,Новомариинск (до 1923)
28,Анапа,Краснодарский край,Южный,81 863,1781,1846,
29,Ангарск,Иркутская область,Сибирский,221 296,1948,1951,Майск
30,Андреаполь,Тверская область,Центральный,6 956,1907,1967,Андреяполь
31,Анжеро-Судженск,Кемеровская область,Сибирский,66 583,1896,1931,
32,Анива,Сахалинская область,Дальневосточный,9 638,1886,1946,Лютога (до 1905);
33,Апатиты,Мурманская область,Северо-Западный,49 647,1926,1966,Белый (до 1926)
34,Апрелевка,Московская область,Центральный,35 514,1899,1961,
35,Апшеронск,Краснодарский край,Южный,40 289,1863,1947,
36,Арамиль,Свердловская область,Уральский,19 013,1675,1966,
37,Аргун,Чечня,Северо-Кавказский,41 622,XVIII век,1967,Устар-Гардой (до 1944);
38,Ардатов,Мордовия,Приволжский,8 857,1671,1780,"Новотроицкое, Ардатово"
39,Ардон,Северная Осетия,Северо-Кавказский,18 956,1824,1964,
40,Арзамас,Нижегородская область,Приволжский,104 908,1552,1578,
41,Аркадак,Саратовская область,Приволжский,10 990,1721,1963,
42,Армавир,Краснодарский край,Южный,187 177,1839,1914,Армянский аул (до 1848);
43,Армянскне призн.,Крым,Южный,20 692,1736,1993,Армянский Базар (до 1921)
44,Арсеньев,Приморский край,Дальневосточный,47 937,1902,1952,Семёновка (до 1952)
45,Арск,Татарстан,Приволжский,20 421,XIII век,2008,
46,Артём,Приморский край,Дальневосточный,109 556,1924,1938,Зыбунный
47,Артёмовск,Красноярский край,Сибирский,1 510,1700,1939,Ольховский (до 1939)
